iter	RMSE
0	3226.325565
1	2535.08046
2	2210.70524
3	2068.138817
4	1971.099919
5	1902.367578
6	1870.829054
7	1849.606376
8	1830.9663
9	1810.084843
10	1792.381837
11	1782.431485
12	1758.616191
13	1748.720722
14	1741.649422
15	1733.139402
16	1723.565808
17	1717.072704
18	1710.138317
19	1705.000131
20	1699.887358
21	1693.629192
22	1689.22684
23	1682.158835
24	1674.527774
25	1669.034955
26	1665.066472
27	1659.971762
28	1654.784447
29	1650.269884
30	1645.216248
31	1640.202915
32	1636.086584
33	1631.619637
34	1625.960507
35	1623.659877
36	1618.436632
37	1615.304876
38	1612.021732
39	1610.016028
40	1607.142593
41	1602.498836
42	1599.202576
43	1597.56245
44	1594.902966
45	1591.004328
46	1588.030887
47	1585.831417
48	1583.024578
49	1579.955975
50	1578.283449
51	1574.659233
52	1571.945894
53	1571.007607
54	1569.136767
55	1567.283705
56	1565.888505
57	1562.979136
58	1560.47962
59	1558.604586
60	1553.826117
61	1550.098912
62	1547.956979
63	1545.441435
64	1543.706896
65	1542.256442
66	1539.738862
67	1535.64105
68	1532.896706
69	1529.607794
70	1527.16376
71	1524.209958
72	1521.573556
73	1519.457706
74	1517.975804
75	1514.983074
76	1513.16701
77	1511.896307
78	1509.029008
79	1507.813681
80	1504.615838
81	1503.693757
82	1502.427522
83	1499.743363
84	1498.027169
85	1495.236563
86	1492.165126
87	1491.223514
88	1487.670823
89	1484.996262
90	1482.06192
91	1480.442376
92	1477.990796
93	1476.666949
94	1476.254004
95	1473.419188
96	1472.058996
97	1470.2757
98	1468.456991
99	1466.22479
