iter	Passed	Remaining
0	150	14928
1	315	15454
2	488	15785
3	647	15538
4	818	15543
5	978	15327
6	1133	15057
7	1288	14813
8	1449	14651
9	1603	14429
10	1761	14251
11	1915	14048
12	2078	13907
13	2289	14062
14	2456	13922
15	2623	13771
16	2788	13616
17	2944	13415
18	3150	13433
19	3307	13229
20	3521	13247
21	3707	13145
22	3920	13124
23	4089	12948
24	4252	12757
25	4446	12656
26	4702	12713
27	4864	12508
28	5019	12288
29	5207	12150
30	5369	11952
31	5545	11783
32	5752	11679
33	5931	11514
34	6100	11330
35	6264	11136
36	6419	10930
37	6574	10726
38	6728	10524
39	6886	10329
40	7040	10131
41	7204	9948
42	7357	9753
43	7512	9560
44	7667	9371
45	7822	9182
46	7972	8990
47	8126	8803
48	8280	8618
49	8436	8436
50	8591	8254
51	8746	8073
52	8918	7908
53	9071	7727
54	9230	7551
55	9384	7373
56	9538	7195
57	9689	7016
58	9845	6841
59	10001	6667
60	10155	6492
61	10306	6317
62	10465	6146
63	10617	5972
64	10770	5799
65	10922	5626
66	11077	5456
67	11237	5288
68	11392	5118
69	11546	4948
70	11699	4778
71	11860	4612
72	12011	4442
73	12174	4277
74	12327	4109
75	12481	3941
76	12643	3776
77	12795	3609
78	12947	3441
79	13098	3274
80	13249	3107
81	13405	2942
82	13558	2776
83	13719	2613
84	13874	2448
85	14057	2288
86	14232	2126
87	14386	1961
88	14543	1797
89	14702	1633
90	14856	1469
91	15009	1305
92	15162	1141
93	15321	977
94	15484	814
95	15643	651
96	15798	488
97	15961	325
98	16112	162
99	16265	0
